seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_thin,50,qpFreeGate,1,1,0.0213807,2344,21,7.90431,564,564,0,0.00314805,0.00249477,0,0,0.0137436,0,33,14,0.636364,0,0,0,1,0,0,2344,686233,0,39,0
1,bookshelf_thin,50,qpFreeEnvelope,1,1,0.0480781,2408,354,17.2519,882,882,0,0.00314805,0.00249477,0,0,0.210216,0.362126,1355,349,0.261255,0,0,0,0,0.803204,0.196796,2408,715409,0,1534,0
1,bookshelf_thin,50,qpEnvelope,1,1,0.00460778,267,15,12.0412,709,709,0,0.00106974,0.00249477,0,0,0.0561535,0.273408,4,4,3.75,0,0,0,0.716981,0.233962,0.0490566,265,65681,247,0,247
1,bookshelf_thin,50,VAMP,1,1,7.8057e-05,1337,11,11.1763,7,560,0,0.00314805,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,74,isSafe,1,1,0.110192,16366,79,18.0185,11,902,0,0.0048054,0.00249477,0,0,0,0,330,75,0.239394,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,74,qpFixed,1,1,0.00694898,433,5,5.6141,434,434,0,0.00531695,0.00249477,0,0,0.0129656,0,1,1,5,0,0,0,1,0,0,433,95197,100,0,100
1,bookshelf_thin,74,qpPlain,1,1,0.00694199,433,5,5.6141,434,434,0,0.00531695,0.00249477,0,0,0.0129656,0,1,1,5,0,0,0,1,0,0,433,148086,433,0,100
1,bookshelf_thin,74,qpAdaptive,1,1,0.00195963,125,5,5.6141,323,323,0,0.00531695,0.00249477,0,0,0.0449128,0.16,1,1,5,0,0,0,0.832,0.144,0.024,125,27136,100,0,100
1,bookshelf_thin,74,qpFreeGate,1,1,0.192253,20344,173,12.5993,941,941,0,0.00733948,0.00249477,0,0,0.01328,0,632,170,0.273734,0,0,0,1,0,0,20344,5936008,0,712,0
1,bookshelf_thin,74,qpFreeEnvelope,1,1,0.0141295,670,117,24.018,1226,1226,0,0.00627951,0.00249477,0,0,0.25418,0.420896,330,112,0.354545,0,0,0,0,0.801418,0.198582,670,192225,0,388,0
1,bookshelf_thin,74,qpEnvelope,1,1,0.00174361,110,5,5.61585,317,317,0,0.00531695,0.00249477,0,0,0.0510532,0.118182,1,1,5,0,0,0,0.881818,0.0909091,0.0272727,110,23459,98,0,98
1,bookshelf_thin,74,VAMP,1,1,0.000951661,23663,85,18.0185,11,902,0,0.0048054,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,99,isSafe,1,1,0.0594614,9180,47,18.2696,11,915,0,0.00364622,0.00249477,0,0,0,0,172,43,0.273256,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,99,qpFixed,1,1,0.0112093,677,7,7.36677,678,678,0,0.00364622,0.00249477,0,0,0.0108815,0,1,1,7,0,0,0,1,0,0,677,182337,373,0,373
1,bookshelf_thin,99,qpPlain,1,1,0.0110853,677,7,7.36677,678,678,0,0.00364622,0.00249477,0,0,0.0108815,0,1,1,7,0,0,0,1,0,0,677,231534,677,0,373
1,bookshelf_thin,99,qpAdaptive,1,1,0.00363945,245,7,7.36512,484,484,0,0.00364622,0.00249477,0,0,0.0300617,0.534694,1,1,7,0,0,0,0.465306,0.514286,0.0204082,245,67920,203,0,203
1,bookshelf_thin,99,qpFreeGate,1,1,0.431316,48082,431,18.4285,1315,1315,0,0.00364622,0.00249477,0,0,0.0133929,0,1808,428,0.238385,0,0,0,1,0,0,48082,14257585,0,1992,0
1,bookshelf_thin,99,qpFreeEnvelope,1,1,0.0610549,3132,482,21.0218,1074,1074,0,0.00364622,0.00249477,0,0,0.21788,0.358876,1808,479,0.266593,0,0,0,0,0.750887,0.249113,3132,922577,0,2004,0
1,bookshelf_thin,99,qpEnvelope,1,1,0.000950478,55,7,7.36042,396,396,0,0.00364622,0.00249477,0,0,0.133826,0.709091,1,1,7,0,0,0,0.290909,0.618182,0.0909091,55,14810,47,0,47
1,bookshelf_thin,99,VAMP,1,1,0.000415711,9690,48,18.2696,11,915,0,0.00364622,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,23,isSafe,1,1,0.00442237,1167,8,11.417,7,572,0,0.00178715,0.00249477,0,0,0,0,10,4,0.8,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,23,qpFixed,1,1,0.00413375,362,6,4.78384,363,363,0,0.00415682,0.00249477,0,0,0.013215,0,1,1,6,0,0,0,1,0,0,362,104968,317,0,317
1,table_under_pick,23,qpPlain,1,1,0.00418467,362,6,4.78384,363,363,0,0.00415682,0.00249477,0,0,0.013215,0,1,1,6,0,0,0,1,0,0,362,123804,362,0,317
1,table_under_pick,23,qpAdaptive,1,1,0.0022525,229,6,4.78796,345,345,0,0.0041333,0.00249477,0,0,0.0209081,0.467249,1,1,6,0,0,0,0.524017,0.462882,0.0131004,229,65011,215,0,215
1,table_under_pick,23,qpFreeGate,1,1,0.0107926,1669,16,15.8138,1115,1115,0,0.00818705,0.00249477,0,0,0.0138031,0,33,11,0.484848,0,0,0,1,0,0,1669,502496,0,37,0
1,table_under_pick,23,qpFreeEnvelope,1,1,0.0014557,90,16,16.0005,823,823,0,0.00818705,0.00249477,0,0,0.270624,0.611111,33,11,0.484848,0,0,0,0,0.8,0.2,90,26646,0,35,0
1,table_under_pick,23,qpEnvelope,1,1,0.000979726,86,6,4.80584,280,280,0,0.00409651,0.00249477,0,0,0.0558819,0.639535,1,1,6,0,0,0,0.360465,0.593023,0.0465116,86,24547,81,0,81
1,table_under_pick,23,VAMP,1,1,3.3364e-05,952,8,11.417,7,572,0,0.00178715,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,47,isSafe,1,1,0.00948599,2599,15,16.3999,10,821,0,0.000414642,0.00249477,0,0,0,0,79,11,0.189873,0,0,0,0,0,0,0,0,0,0,0
